,id,Mun_Code,Reg_Name,Pro_Name,Mun_Name,water,food,shelter,health,education,work,peace,participation,protect,environment
0,0,157001000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,PANGLIMA SUGALA (BALIMBING),91.21832227,,1.192573519,68.8334171,29.9178347,56.48881757,0.162623662,,99.85719386,0.009528684
1,1,157002000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,BONGAO (Capital),70.14841781,,4.698963876,66.92576308,19.53809627,54.91490101,1.232147858,,99.22804281,0.000279214
2,2,157003000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,MAPUN (CAGAYAN DE TAWI-TAWI),91.63133229,,5.556795358,71.62162162,20.18684741,44.27211302,0.424012497,,99.89186754,0.001283289
3,3,157004000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,SIMUNUL,91.03267974,,2.666666667,60.58078468,18.57934716,54.30517935,9.437908497,,99.76284297,0
4,4,157005000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,SITANGKAI,98.43548387,,5.717741935,80.92594204,43.58923625,50.4787218,0.370967742,,99.72100558,0
5,5,157007000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,TANDUBAS,79.06808741,,4.388658118,60.41901692,22.6917557,44.91167435,0.903016074,,99.8065056,0.001562284
6,6,157008000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,TURTLE ISLANDS,96.11650485,,0.388349515,81.18971061,17.28045326,58.42068484,12.23300971,,,0
7,7,157009000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,LANGUYAN,71.30732579,,10.49731983,76.64007658,26.99836868,51.29155143,5.702799285,,99.02978035,0.004528138
8,8,157010000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,SAPA-SAPA,78.23250297,,3.21767497,85.86888134,28.96320296,59.87389392,6.494661922,,99.85069056,8.38E-05
9,9,157011000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,SIBUTU,86.22269204,,3.875968992,21.62467944,16.62174304,51.73428116,0.916138125,,99.69394807,0
10,10,175301000,REGION IV-B (MIMAROPA),PALAWAN,ABORLAN,15.62256304,53.32918482,2.46945672,69.1618682,16.74835625,53.32510062,3.613205095,90.37929954,99.19637514,0.004449484
11,11,175303000,REGION IV-B (MIMAROPA),PALAWAN,ARACELI,91.53587444,96.18320611,1.569506726,80.85359408,10.81615363,46.34758073,0.616591928,89.90542625,99.05426253,0
12,12,175304000,REGION IV-B (MIMAROPA),PALAWAN,BALABAC,92.39631336,62.09728364,2.157519899,28.60734265,16.58274589,51.91856229,0.073313783,,99.78914532,0.023363312
13,13,175305000,REGION IV-B (MIMAROPA),PALAWAN,BATARAZA,29.50920245,57.61316872,3.153374233,40.88355077,14.87839771,52.38049895,0.717791411,95.61801028,98.93179839,0.019028897
14,14,175306000,REGION IV-B (MIMAROPA),PALAWAN,BROOKE'S POINT,24.39737555,52.24574084,3.166452717,51.5696138,13.66879459,46.21798996,1.675937812,96.17320035,98.97098261,0.004776175
15,15,175307000,REGION IV-B (MIMAROPA),PALAWAN,BUSUANGA,34.37695679,55.02793296,3.224796493,46.58498803,6.563354603,49.84078182,3.381340013,88.69182618,99.10187789,0.002517524
16,16,175309000,REGION IV-B (MIMAROPA),PALAWAN,CORON,52.25007551,53.36976321,6.805597503,49.11821198,11.58274014,52.20617226,19.16842847,89.85579986,98.70613724,0.058059087
17,17,175311000,REGION IV-B (MIMAROPA),PALAWAN,DUMARAN,72.45173745,96.26769627,1.583011583,21.56205697,6.744145096,47.31677607,4.691119691,91.98629019,99.23316761,0.000377463
18,18,175312000,REGION IV-B (MIMAROPA),PALAWAN,EL NIDO (BACUIT),70.22736446,43.03482587,3.013588053,42.94840008,6.801449106,55.10750164,0.322884434,,98.88477623,0.001646237
19,19,175313000,REGION IV-B (MIMAROPA),PALAWAN,LINAPACAN,73.33333333,100,0.80620155,57.94029444,9.0835141,51.97752809,15.1627907,88.82527349,98.65968854,0
20,20,175315000,REGION IV-B (MIMAROPA),PALAWAN,NARRA,8.70294056,64.38833261,2.151288678,26.23565991,5.861320393,47.66046144,1.201369002,95.5135395,98.95782112,0.002743598
21,21,175316000,REGION IV-B (MIMAROPA),PALAWAN,PUERTO PRINCESA CITY (Capital),22.90635936,57.59676488,7.454446724,66.78148305,6.255360206,49.26458959,1.746711717,95.44423908,98.04683501,0.002779304
22,22,156607000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,OLD PANAMAO,73.31900258,,5.012897678,96.46355637,57.67974902,54.91249464,1.857265692,,99.91252369,0.000598504
23,23,156608000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,PANGUTARAN,93.34636053,,2.784562775,91.58882212,33.89688866,51.03147116,3.986321446,,99.82942639,0.041039619
24,24,157006000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,SOUTH UBIAN,98.92494136,,1.192337764,65.20512173,17.96494645,55.80813206,0.27365129,,99.80936819,0
25,25,97216000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,SIBUCO,30.24683624,37.81909864,3.733867936,42.82872809,10.71838182,62.51018376,0.313243954,,99.60736937,45.52751247
26,26,97219000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,SIOCON,62.06150889,50.55910543,2.991350312,75.25652451,11.18591403,54.87518847,4.33685728,,99.51393182,0.01189239
27,27,97330000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,TUKURAN,30.6789606,58.92857143,3.831876422,31.43948565,8.293569643,50.90534807,0.874146809,83.16172777,98.74183827,0.007059061
28,28,101312000,REGION X (NORTHERN MINDANAO),BUKIDNON,CITY OF MALAYBALAY (Capital),24.35524676,61.81496759,3.881735453,78.71039707,11.58907071,50.51397606,2.884869539,92.27910288,98.23679313,45.66617107
29,29,103517000,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,POONA PIAGAPO,61.77951875,41.99623352,5.838462973,92.03788276,18.55938507,56.70495227,0.839395635,91.86838404,98.4929219,45.49987862
30,30,103508000,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,KOLAMBUGAN,26.41479856,45.37815126,5.361341903,97.64290594,8.238358841,51.47686729,6.22354601,83.79189039,94.88242918,45.51362916
31,31,103518000,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,SALVADOR,36.61827247,70,2.449039449,34.19216318,13.66352563,49.57728707,0.777240065,89.40493013,98.74053555,0.004731652
32,32,112318000,REGION XI (DAVAO REGION),DAVAO DEL NORTE,SANTO TOMAS,17.20094563,29.30773118,2.307328605,65.30436995,5.010165553,44.24635851,1.489361702,,96.76968421,45.50332686
33,33,112319000,REGION XI (DAVAO REGION),DAVAO DEL NORTE,CITY OF TAGUM (Capital),34.89774515,31.30755064,2.721552176,64.49383327,6.28897826,48.83703853,2.420031463,,96.09010037,0.299057255
34,34,175317000,REGION IV-B (MIMAROPA),PALAWAN,QUEZON,37.77867203,49.53722334,4.217303823,45.87469547,10.89807555,53.87348121,2.197183099,94.84670856,99.25877337,0.005501995
35,35,175318000,REGION IV-B (MIMAROPA),PALAWAN,ROXAS,56.23805624,48.58684481,3.119028119,40.55229431,6.255648806,42.0219157,11.36363636,89.63860583,98.96875669,0.001860907
36,36,175319000,REGION IV-B (MIMAROPA),PALAWAN,SAN VICENTE,20.94417961,57.33333333,1.568506843,30.02153387,7.393261492,45.33635119,3.383053975,95.95927254,99.12269467,0.004902902
37,37,175320000,REGION IV-B (MIMAROPA),PALAWAN,TAYTAY,60.52425429,76.60878447,3.44079542,56.99590651,6.116161616,55.33904571,8.785778849,90.68308259,99.1738176,0.003466866
38,38,175321000,REGION IV-B (MIMAROPA),PALAWAN,KALAYAAN,0,100,0,15.46391753,0,6.451612903,0,64.67391304,,0
39,39,175322000,REGION IV-B (MIMAROPA),PALAWAN,CULION,50.10114633,97.27272727,2.315126995,15.97568917,10.16260163,46.86751113,37.53652506,95.19248257,99.48358906,0.0011774
40,40,175323000,REGION IV-B (MIMAROPA),PALAWAN,RIZAL (MARCOS),48.43438373,96.52902454,2.861986438,17.79840226,17.12178418,51.01752972,3.779417631,,99.58280102,0.031440067
41,41,175324000,REGION IV-B (MIMAROPA),PALAWAN,SOFRONIO ESPAÌÔOLA,33.89175258,56.23529412,2.029639175,56.20823453,8.907681466,54.36813348,0.837628866,95.14235308,99.03881251,0.00210569
42,42,150713000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN,TABUAN-LASA,87.5664187,,10.17293015,75.1232193,37.75016256,42.13856757,6.134672978,,99.9184702,0
