,id,Pro_Code,Reg_Name,Pro_Name,water,food,shelter,health,education,work,peace,participation,protect,environment
0,0,157000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),TAWI-TAWI,83.86627144,,4.505272546,67.99964518,25.82659228,52.91225965,2.174597345,,99.55125741,1.69711378
1,1,175300000,REGION IV-B (MIMAROPA),PALAWAN,43.67930202,61.4448177,3.65266946,46.11524284,9.644924215,49.84291167,4.951841847,93.2813256,98.83573561,6.323431467
2,2,156600000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),SULU,71.78467531,,5.352823792,79.11247021,32.28129117,52.12522321,2.517250499,,99.6487643,6.927174629
3,3,97200000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,41.23378833,43.26948365,2.830663709,57.44703485,10.31690863,49.95103171,1.237508109,86.78485055,98.8922817,6.612959361
4,4,97300000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,37.76397034,49.04317789,4.977534756,57.48907993,10.74928597,52.82380834,1.293950335,91.68761174,98.00314202,7.707770817
5,5,101300000,REGION X (NORTHERN MINDANAO),BUKIDNON,33.12598315,46.5898581,2.670403748,70.68912728,11.49640967,45.50038181,2.180760569,89.9605936,98.27052124,6.914730391
6,6,103500000,REGION X (NORTHERN MINDANAO),LANAO DEL NORTE,29.42287082,51.79615706,4.866334799,86.11179254,12.7344737,54.2453288,5.563457166,90.11584218,97.54141717,8.81960802
7,7,112300000,REGION XI (DAVAO REGION),DAVAO DEL NORTE,33.72541618,40.47515887,2.189853954,57.56997706,5.650210734,47.34627533,2.580086484,,96.90240468,7.844299658
8,8,150700000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),BASILAN,64.47154571,,4.479855315,86.53237708,26.90220093,54.7164588,4.312441191,,99.41110759,3.516404026
9,9,99700000,REGION IX (ZAMBOANGA PENINSULA),CITY OF ISABELA,31.9844667,,12.36044305,63.36986245,13.83117156,62.17391304,1.734257094,96.89722393,98.4479529,9.356782296
10,10,98300000,REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,44.80171575,52.70322531,5.534231832,49.06107835,11.5327517,52.10480549,0.468506398,90.14275944,98.842538,5.259609588
11,11,104200000,REGION X (NORTHERN MINDANAO),MISAMIS OCCIDENTAL,24.3050477,46.41375222,2.18161201,73.94802434,9.788224759,49.21037867,2.973730269,85.19286596,96.40443561,6.096888727
12,12,104300000,REGION X (NORTHERN MINDANAO),MISAMIS ORIENTAL,17.52388788,36.02130847,4.031862974,76.25249108,7.586916657,51.31756288,3.463041568,92.91380104,97.37793881,14.19069642
13,13,112400000,REGION XI (DAVAO REGION),DAVAO DEL SUR,23.31712649,43.62623887,4.257751646,64.18374162,6.863844881,48.76956535,1.509812051,,96.06113199,15.34737578
14,14,124700000,REGION XII (SOCCSKSARGEN),COTABATO,34.95342561,52.90162232,4.537304069,78.99399537,13.215953,54.3079195,4.408614033,90.48049423,98.77599236,4.116074285
15,15,129800000,REGION XII (SOCCSKSARGEN),COTABATO CITY,26.87359238,,11.70105361,85.38427506,30.4147961,60.26139278,16.26498227,98.79407423,98.79174138,21.43799096
16,16,153600000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),LANAO DEL SUR,57.63938815,,5.203659171,91.22113215,27.34848711,57.73949546,2.50142549,,99.66458804,5.318957357
17,17,112500000,REGION XI (DAVAO REGION),DAVAO ORIENTAL,24.8965084,35.87928033,2.159338342,46.38169581,6.821916209,51.9681848,1.809919703,,98.67181434,10.18213939
18,18,118200000,REGION XI (DAVAO REGION),COMPOSTELA VALLEY,32.34569186,,2.883583604,48.00495538,6.408474588,47.2882371,3.448074034,,97.90093354,13.71599183
19,19,118600000,REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,46.5728472,,1.909686518,61.0693999,11.52368079,48.73598436,1.022416782,,,6.962033186
20,20,126300000,REGION XII (SOCCSKSARGEN),SOUTH COTABATO,18.1452873,48.3913329,5.646002509,70.81886506,9.5276928,51.39978462,1.289144165,94.788089,97.08895932,11.94387503
21,21,126500000,REGION XII (SOCCSKSARGEN),SULTAN KUDARAT,27.54082613,51.93595503,3.374319565,71.79892855,14.08437157,53.74382472,2.965097663,91.95307757,98.84981334,7.964453167
22,22,128000000,REGION XII (SOCCSKSARGEN),SARANGANI,28.68015864,59.56031391,3.352579805,68.3827093,12.52454999,54.12023298,1.277265835,94.04253483,98.72848338,7.105702655
23,23,153800000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),MAGUINDANAO,50.89104302,,6.519428072,84.84436704,26.44293185,54.71959707,14.30229413,,99.56031436,5.516677684
24,24,60400000,REGION VI (WESTERN VISAYAS),AKLAN,30.57955859,54.54647761,1.966719871,52.4857318,6.291088117,53.3503232,4.033426899,92.52468789,97.76787348,6.590414801
25,25,60600000,REGION VI (WESTERN VISAYAS),ANTIQUE,21.94654271,48.73741132,1.777205943,71.54422777,7.041998396,49.96041172,9.841454304,88.99446781,98.10255495,4.462458658
26,26,175200000,REGION IV-B (MIMAROPA),ORIENTAL MINDORO,15.88800148,54.84803237,3.095424957,58.98317944,7.354748308,49.29613011,19.47740178,91.32936529,98.55466047,12.19447542
27,27,175900000,REGION IV-B (MIMAROPA),ROMBLON,21.78051796,55.61029683,2.218872271,36.86008083,6.479797273,49.70034913,19.46171175,89.31204202,98.89429289,8.686878822
28,28,160300000,REGION XIII (Caraga),AGUSAN DEL SUR,44.643568,53.5557117,2.204463005,67.99944406,8.955079946,47.39592212,18.34248417,89.26916936,98.71041368,8.320456251
29,29,166800000,REGION XIII (Caraga),SURIGAO DEL SUR,20.03975076,52.1027449,3.182576755,68.37717775,8.605540907,50.30881573,25.73903709,90.8776699,98.0913033,11.71467689
30,30,63000000,REGION VI (WESTERN VISAYAS),ILOILO,37.4471397,50.98528601,3.465467014,76.95779835,6.766699332,49.16295006,2.707170206,92.20237575,97.98802516,7.061210249
31,31,67900000,REGION VI (WESTERN VISAYAS),GUIMARAS,55.42961179,,2.120162095,67.27184685,6.958661417,47.75854332,1.065954073,92.05010658,98.15821273,5.847862537
32,32,72200000,REGION VII (CENTRAL VISAYAS),CEBU,33.85138594,47.53949616,4.294278402,59.89428319,12.6926977,50.50572828,4.689541491,94.90723083,96.71074716,12.16673793
33,33,76100000,REGION VII (CENTRAL VISAYAS),SIQUIJOR,3.891031587,43.45390898,2.035834595,68.93832916,7.774272278,49.2877357,0.576087487,86.86553119,98.23408068,5.875179135
